Peer-reviewed,Study,Sample,Gender,N,Age.classification,Combination,WM.type1,WM.type2,Math.type,Reported.Effect.Size,MA.TA.Description,MA.TA.Name,TA.GA.Description,TA.GA.Name,COGN.Description,COGN.Name,ACH.Description,ACH.Name
yes,"Trezise et al., 2014","Trezise et al., 2014",,65,Dev_Group,MA-Maths,,,arithmetic,-0.62,Math anxiety,Self developed,,,,,Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-Maths,,,math_apply,-0.6,Math anxiety,Self developed,,,,,Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,WM-Maths,verbal,WM,math_apply,0.75,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,Algebra problem solving task
yes,"Trezise et al., 2014","Trezise et al., 2014",,65,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.53,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,WM-Maths,verbal,WM,math_apply,0.59,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,WM-Maths,verbal,WM,math_apply,0.45,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,Algebra problem solving task
yes,"Trezise et al., 2014","Trezise et al., 2014",,65,Dev_Group,WM-Maths,verbal,WM,arithmetic,-0.02,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,WM-Maths,verbal,WM,math_apply,-0.05,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,WM-Maths,verbal,WM,math_apply,0.45,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,Algebra problem solving task
yes,"Trezise et al., 2014","Trezise et al., 2014",,65,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.6,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,WM-Maths,verbal,WM,math_apply,0.56,,,,,Working memory,Algebra wm task based on Turner and Engle (1989),Mathematic,WJ-III
yes,"Hannon et al., 2011","Hannon et al., 2011",,253,Adult,TA-WM,verbal,WM,,0.2,Test Anxiety,Self developed,,,Working memory,Composite Working memory,,
yes,"Hannon et al., 2011","Hannon et al., 2011",,253,Adult,TA-Maths,,,math_apply,-0.33,,,,,,,Achievement,M-SAT
yes,"Hannon et al., 2011","Hannon et al., 2011",,253,Adult,WM-Maths,verbal,WM,math_apply,0.35,,,,,Working memory,Composite Working memory,Achievement,M-SAT
yes,"Hannon et al., 2013","Hannon et al., 2013",,229,Adult,TA-WM,verbal,WM,,-0.39,Test Anxiety,Saranson 1978,,,Working memory,Reading span,,
yes,"Hannon et al., 2013","Hannon et al., 2013",,229,Adult,TA-WM,verbal,WM,,-0.14,Test Anxiety,Saranson 1978,,,Working memory,Operations span,,
yes,"Hannon et al., 2013","Hannon et al., 2013",,229,Adult,TA-Maths,,,math_apply,-0.31,Test Anxiety,Saranson 1978,,,,,Achievement,M-SAT
yes,"Hannon et al., 2013","Hannon et al., 2013",,229,Adult,WM-Maths,verbal,WM,math_apply,0.29,,,,,,Reading span,Achievement,M-SAT
yes,"Hannon et al., 2013","Hannon et al., 2013",,229,Adult,WM-Maths,verbal,WM,math_apply,0.29,,,,,,Operations span,Achievement,M-SAT
yes,"Thames et al., 2015","Thames et al., 2015",,76,Adult,TA-WM,verbal,WM,,-0.29,Test Anxiety,TAI,,,Working Memory,Attention/working memory,,
yes,"Thames et al., 2015","Thames et al., 2015",,76,Adult,TA-WM,verbal,WM,,-0.11,Test Anxiety,TAI,,,Working Memory,Attention/working memory,,
yes,"Thames et al., 2015","Thames et al., 2015",,76,Adult,TA-WM,verbal,WM,,0.07,Test Anxiety,TAI,,,Working Memory,Attention/working memory,,
yes,"Thames et al., 2015","Thames et al., 2015",,76,Adult,TA-WM,verbal,WM,,0.21,Test Anxiety,TAI,,,Working Memory,Attention/working memory,,
yes,"Thames et al., 2015","Thames et al., 2015",,76,Adult,TA-WM,verbal,WM,,0.29,Test Anxiety,TAI,,,Working Memory,Attention/working memory,,
yes,"Thames et al., 2015","Thames et al., 2015",,76,Adult,TA-WM,verbal,WM,,-0.14,Test Anxiety,TAI,,,Working Memory,Attention/working memory,,
yes,"Thames et al., 2015","Thames et al., 2015",,76,Adult,TA-WM,verbal,WM,,0.13,Test Anxiety,TAI,,,Working Memory,Attention/working memory,,
yes,"Thames et al., 2015","Thames et al., 2015",,76,Adult,TA-WM,verbal,WM,,0.27,Test Anxiety,TAI,,,Working Memory,Attention/working memory,,
yes,"Ng et al., 2015","Ng et al., 2015",,121,Dev_Group,TA-WM,verbal,WM,,-0.22,Test Anxiety-Low situational stress,TAI,,,Working memory-low situatonal stress,Self developed,,
yes,"Ng et al., 2015","Ng et al., 2015",,121,Dev_Group,TA-Maths,,,arithmetic,-0.21,Test Anxiety-Low situational stress,TAI,,,,,Mathematic,Mathematic-low situational stress
